"Incorrect username or password","Crikey! The username or password was incorrect"
"Please include all necessary parameters","Mate, stop dicking around with the request and include all the parameters"
"Domains","Domains"
"Mailboxes","Mailboxes"
"Login","Login"
"Logout","Logout"
"Current domains (Virtual Domains)","Current domains (Virtual Domains)"
"Domain Name","Domain Name"
"ID","ID"
"Create a domain","Create a domain"
"Domain (mail.example.com)","Domain (mail.bigpond.com)"
"Create","Create"
"Current mailboxes (Virtual Users)","Current mailboxes (Virtual Users)"
"Select a domain to filter by","Select a domain to filter by"
"E-mail","E-mail"
"Domain","Domain"
"Create a new mailbox","Create a new mailbox"
"Username","Username"
"Password","Password"
"Select a domain","Choose a domain"
"Please Login","Please Login"
"Aliases","Aliases"
"Language","Language"
"Dovecot Mailbox Manager","Dovecot Mailbox Manager"
"E-mail (addr)","E-mail (test@example.com)"
"Current aliases (Virtual Aliases)","Current aliases (Virtual Aliases)"
"Source","Source"
"Destination","Destination"
"Create an alias","Create an alias"
"Source e-mail","Source e-mail"
"Destination e-mail","Destination e-mail"
"Source and destination have to be the same domain, example myalias@example.com and realinbox@example.com","Source and destination have to be the same domain, example myalias@example.com and realinbox@example.com"
"Manage web user","Manage web user"
"Change password","Change password"
"New password","New password"
"Confirm new password","Confirm new password"
"Update Password","Update Password"
"Update current username","Update current username"
"Update Username","Update Username"
"Successfully updated profile","Successfully updated profile"